Bases	Contigs	Depth	N50
24823672	3	4.56	5248978
24971089	3	4.59	5248978
25091179	3	4.61	5248978
25127521	3	4.62	5248978
25158256	3	4.62	5248978
25323080	3	4.65	5248978
25484921	3	4.68	5248978
25605838	3	4.71	5248978
25635745	3	4.71	5248978
25664555	3	4.72	5248978
25796524	3	4.74	5248978
25855119	3	4.75	5248978
25899588	3	4.76	5248978
26081157	3	4.79	5248978
26162824	3	4.81	5248978
26198247	3	4.81	5248978
26298424	3	4.83	5248978
26439013	3	4.86	5248978
26558561	3	4.88	5248978
26599622	3	4.89	5248978
26761402	3	4.92	5248978
26875617	3	4.94	5248978
26951917	3	4.95	5248978
27056398	3	4.97	5248978
27236464	3	5.01	5248978
27291802	3	5.02	5248978
27346320	3	5.03	5248978
27399856	3	5.04	5248978
27552914	3	5.06	5248978
27601740	3	5.07	5248978
27711776	3	5.09	5248978
27870002	3	5.12	5248978
27954352	3	5.14	5248978
27990690	3	5.14	5248978
28041461	3	5.15	5248978
28333452	3	5.21	5248978
28434108	3	5.23	5248978
28489288	3	5.24	5248978
28613201	3	5.26	5248978
28677364	3	5.27	5248978
28820735	3	5.30	5248978
28981675	3	5.33	5248978
29058335	3	5.34	5248978
29322667	3	5.39	5249612
29400472	3	5.40	5249612
29557835	3	5.43	5249612
29604466	3	5.44	5249612
29759474	3	5.47	5249612
29886850	3	5.49	5249612
29912011	3	5.50	5249612
30061969	3	5.53	5249612
30262647	3	5.56	5249612
30443924	3	5.60	5249612
30593917	3	5.62	5249612
30709889	3	5.64	5249612
30888591	3	5.68	5249612
30903404	3	5.68	5249612
31022490	3	5.70	5249612
31127294	3	5.72	5249612
31350495	3	5.76	5249612
31406289	3	5.77	5249612
31562591	3	5.80	5249612
31676118	3	5.82	5249612
31722928	3	5.83	5249612
31964333	3	5.87	5249612
32051488	3	5.89	5249612
32051488	3	5.89	5249612
32107089	3	5.90	5249612
32154442	3	5.91	5249612
32299291	3	5.94	5249612
32309865	3	5.94	5249612
32481456	3	5.97	5249612
32624096	3	6.00	5249612
32778799	3	6.02	5249612
32790729	3	6.03	5249612
32887917	3	6.04	5249612
33053440	3	6.07	5249612
33088984	3	6.08	5249612
33261600	3	6.11	5249612
33425086	3	6.14	5249612
33445694	3	6.15	5249612
33648740	3	6.18	5249612
33795488	3	6.21	5249612
33882650	3	6.23	5249612
33957818	3	6.24	5249612
34075850	3	6.26	5249612
34197736	3	6.29	5249612
34197736	3	6.29	5249612
34378250	3	6.32	5249612
34441070	3	6.33	5249612
34581130	3	6.36	5249612
34581130	3	6.36	5249612
34699268	3	6.38	5249612
34834840	3	6.40	5249612
34929775	3	6.42	5249612
35105985	3	6.45	5249612
35275636	3	6.48	5249612
35335878	3	6.49	5249612
35480362	3	6.52	5249612
35657588	3	6.55	5249612
35822811	3	6.58	5249612
35964776	3	6.61	5249612
36056799	3	6.63	5249612
36205756	3	6.65	5249612
36205756	3	6.65	5249612
36225639	3	6.66	5249612
36398258	3	6.69	5249612
36542986	3	6.72	5249612
36671778	3	6.74	5249612
36740170	3	6.75	5249612
36869117	3	6.78	5249612
37016968	3	6.80	5249612
37155841	3	6.83	5249614
37255047	3	6.85	5249614
37380005	3	6.87	5249614
37417547	3	6.88	5249614
37550817	3	6.90	5249614
37842526	3	6.96	5249614
37842526	3	6.96	5249614
37923207	3	6.97	5249614
38068445	3	7.00	5249614
38078844	3	7.00	5249614
38242625	3	7.03	5249614
38313795	3	7.04	5249614
38353486	3	7.05	5249614
38498122	3	7.08	5249614
38520528	3	7.08	5249614
38710504	3	7.11	5249614
38710504	3	7.11	5249614
38827196	3	7.14	5249614
38919784	3	7.15	5249614
38952023	3	7.16	5249614
39044228	3	7.18	5249614
39162707	3	7.20	5249614
39162707	3	7.20	5249614
39354260	3	7.23	5249614
39505318	3	7.26	5249614
39686589	3	7.29	5249614
39792696	3	7.31	5249614
39936697	3	7.34	5249614
39958947	3	7.34	5249614
40076206	3	7.37	5249614
40319826	3	7.41	5249614
40452560	3	7.43	5249614
40598821	3	7.46	5249614
40743431	3	7.49	5249614
40776943	3	7.49	5249614
41006624	3	7.54	5249614
41166171	3	7.57	5249614
41230487	3	7.58	5249614
41286413	3	7.59	5249614
41367164	3	7.60	5249614
41489612	3	7.63	5249614
41581870	3	7.64	5249614
41716693	3	7.67	5249614
41851535	3	7.69	5249614
41879288	3	7.70	5249614
42010147	3	7.72	5249614
42023820	3	7.72	5249614
42158446	3	7.75	5249614
42227883	3	7.76	5249614
42324567	3	7.78	5249614
42439613	3	7.80	5249614
42497042	3	7.81	5249614
42586583	3	7.83	5249614
42652178	3	7.84	5249614
42775590	3	7.86	5249614
42888255	3	7.88	5249614
42970241	3	7.90	5249614
43156602	3	7.93	5249614
43156602	3	7.93	5249614
43176806	3	7.94	5249614
43378770	3	7.97	5249614
43470745	3	7.99	5249614
43510384	3	8.00	5249614
43702299	3	8.03	5249614
43786400	3	8.05	5249614
44030233	3	8.09	5249614
44093784	3	8.10	5249614
44107316	3	8.11	5249614
44315114	3	8.14	5249614
44417305	3	8.16	5249614
44543654	3	8.19	5249614
44642311	3	8.20	5249614
44663413	3	8.21	5249614
44785914	3	8.23	5249614
44864348	3	8.25	5249614
44870092	3	8.25	5249614
44942170	3	8.26	5249614
45014577	3	8.27	5249614
45116705	3	8.29	5249614
45168903	3	8.30	5249614
45303427	3	8.33	5249614
45485368	3	8.36	5249614
45538654	3	8.37	5249614
45637629	3	8.39	5249614
45672007	3	8.39	5249614
45733471	3	8.41	5249614
45848863	3	8.43	5249614
45902334	3	8.44	5249614
46075546	3	8.47	5249614
46149706	3	8.48	5249614
46224340	3	8.50	5249614
46422104	3	8.53	5249614
46447018	3	8.54	5249614
46591065	3	8.56	5249614
46822740	3	8.61	5249614
46937217	3	8.63	5249614
46986728	3	8.64	5249614
47110662	3	8.66	5249614
47181452	3	8.67	5249614
47243418	3	8.68	5249614
47311633	3	8.70	5249614
47532101	3	8.74	5249614
47664566	3	8.76	5249614
47856267	3	8.80	5249614
48020541	3	8.83	5249614
48152396	3	8.85	5249614
48178235	3	8.85	5249614
48327864	3	8.88	5249614
48392477	3	8.89	5249614
48483738	3	8.91	5249614
48582933	3	8.93	5249614
48613091	3	8.93	5249614
48744893	3	8.96	5249614
48955013	3	9.00	5249614
49093981	3	9.02	5249614
49139406	3	9.03	5249614
49409903	3	9.08	5249614
49546448	3	9.11	5249614
49756026	3	9.14	5249614
49849637	3	9.16	5249614
49929431	3	9.18	5249614
49955009	3	9.18	5249614
50021957	3	9.19	5249614
50164259	3	9.22	5249614
50342124	3	9.25	5249614
50362361	3	9.26	5249614
50405395	3	9.26	5249614
50502392	3	9.28	5249614
50548874	3	9.29	5249614
50729867	3	9.32	5249614
50811318	3	9.34	5249614
50853081	3	9.35	5249614
51057104	3	9.38	5249614
51057104	3	9.38	5249614
51169450	3	9.40	5249614
51264488	3	9.42	5249614
51384956	3	9.44	5249614
51524822	3	9.47	5249614
51524822	3	9.47	5249614
51555081	3	9.48	5249614
51829909	3	9.53	5249614
51871440	3	9.53	5249614
51960716	3	9.55	5249614
52040169	3	9.56	5249614
52199329	3	9.59	5249614
52361480	3	9.62	5249614
52386833	3	9.63	5249614
52473401	3	9.64	5249614
52542829	3	9.66	5249614
52672935	3	9.68	5249614
52749380	3	9.69	5249614
52852063	3	9.71	5249614
52912477	3	9.72	5249614
53051721	3	9.75	5249614
53158951	3	9.77	5249614
53283203	3	9.79	5249614
53434021	3	9.82	5249614
53515644	3	9.84	5249614
53561589	3	9.84	5249614
53681150	3	9.87	5249614
53783723	3	9.88	5249614
53836408	3	9.89	5249614
53868020	3	9.90	5249614
53921989	3	9.91	5249614
54195278	3	9.96	5249614
54355945	3	9.99	5249614
54499682	3	10.02	5249614
54638962	3	10.04	5249614
54661813	3	10.05	5249614
54826893	3	10.08	5249614
54920108	3	10.09	5249614
55049520	3	10.12	5249614
55100758	3	10.13	5249614
55176866	3	10.14	5249614
55278835	3	10.16	5249614
55348578	3	10.17	5249614
55371842	3	10.18	5249614
55411883	3	10.18	5249614
55651012	3	10.23	5249614
55825144	3	10.26	5249614
55889084	3	10.27	5249614
55989884	3	10.29	5249614
56034086	3	10.30	5249614
56153422	3	10.32	5249614
56374601	3	10.36	5249614
56374601	3	10.36	5249614
56432456	3	10.37	5249614
56500977	3	10.38	5249614
56652243	3	10.41	5249614
56766573	3	10.43	5249614
56865511	3	10.45	5249614
56916561	3	10.46	5249614
57031489	3	10.48	5249614
57080835	3	10.49	5249614
57287223	3	10.53	5249614
57366255	3	10.54	5249614
57380040	3	10.55	5249614
57467884	3	10.56	5249614
57535665	3	10.57	5249614
57577835	3	10.58	5249614
57712908	3	10.61	5249614
57794454	3	10.62	5249614
57850005	3	10.63	5249614
57914185	3	10.64	5249614
57958105	3	10.65	5249614
58212889	3	10.70	5249614
58297267	3	10.71	5249614
58446983	3	10.74	5249614
58593685	3	10.77	5249614
58593685	3	10.77	5249614
58714118	3	10.79	5249614
58848367	3	10.82	5249614
58880594	3	10.82	5249614
58893355	3	10.82	5249614
59030826	3	10.85	5249614
59206813	3	10.88	5249614
59300316	3	10.90	5249614
59300316	3	10.90	5249614
59342632	3	10.91	5249614
59473529	3	10.93	5249614
59549521	3	10.94	5249614
59673572	3	10.97	5249614
59789726	3	10.99	5249614
59894202	3	11.01	5249614
59894202	3	11.01	5249614
60018201	3	11.03	5249614
60150438	3	11.06	5249614
60271233	3	11.08	5249614
60278721	3	11.08	5249614
60458658	3	11.11	5249614
60656515	3	11.15	5249614
60723304	3	11.16	5249614
60723304	3	11.16	5249614
60751600	3	11.17	5249614
60966700	3	11.21	5249614
60966700	3	11.21	5249614
61054085	3	11.22	5249614
61142627	3	11.24	5249614
61331308	3	11.27	5249614
61365857	3	11.28	5249614
61547362	3	11.31	5249614
61645838	3	11.33	5249614
61680802	3	11.34	5249614
61846840	3	11.37	5249614
61984562	3	11.39	5249614
62119940	3	11.42	5249614
62211784	3	11.43	5249614
62311698	3	11.45	5249614
62382487	3	11.47	5249614
62556416	3	11.50	5249614
62576425	3	11.50	5249614
62813836	3	11.54	5249614
62813836	3	11.54	5249614
62897788	3	11.56	5249614
63011523	3	11.58	5249614
63070817	3	11.59	5249614
63211000	3	11.62	5249614
63464186	3	11.66	5249614
63464186	3	11.66	5249614
63608370	3	11.69	5249614
63697144	3	11.71	5249614
63748778	3	11.72	5249614
63748778	3	11.72	5249614
63828296	3	11.73	5249614
63903683	3	11.74	5249614
64048783	3	11.77	5249614
64287004	3	11.82	5249614
64345079	3	11.83	5249614
64470991	3	11.85	5249614
64572402	3	11.87	5249614
64817041	3	11.91	5249614
64831256	3	11.92	5249614
64874521	3	11.92	5249614
