Bases	Contigs	Depth	N50
3556899	291	0.77	133154
24072077	123	5.24	558726
48139674	39	10.48	2884575
71689847	36	15.61	2884606
94211966	36	20.52	2884606
118836184	36	25.88	2884606
143220004	37	31.19	4636637
147332026	1	32.08	4641649
