Genome,Method,Bases,Contigs,Depth,N50
citrobacter-freundii_CAV1741,npScarf,6791512,19,1.27,529594
citrobacter-freundii_CAV1741,npScarf,6896029,19,1.29,529594
citrobacter-freundii_CAV1741,npScarf,7074737,18,1.33,529594
citrobacter-freundii_CAV1741,npScarf,7195014,18,1.35,529594
citrobacter-freundii_CAV1741,npScarf,7342299,18,1.38,529594
citrobacter-freundii_CAV1741,npScarf,7405953,18,1.39,529594
citrobacter-freundii_CAV1741,npScarf,7558647,18,1.42,529594
citrobacter-freundii_CAV1741,npScarf,7589669,18,1.42,529594
citrobacter-freundii_CAV1741,npScarf,7706596,17,1.44,529594
citrobacter-freundii_CAV1741,npScarf,7784639,17,1.46,529594
citrobacter-freundii_CAV1741,npScarf,7890946,17,1.48,529594
citrobacter-freundii_CAV1741,npScarf,8030276,17,1.5,529594
citrobacter-freundii_CAV1741,npScarf,8081402,17,1.51,529594
citrobacter-freundii_CAV1741,npScarf,8205454,17,1.54,529594
citrobacter-freundii_CAV1741,npScarf,8228961,17,1.54,529594
citrobacter-freundii_CAV1741,npScarf,8303660,17,1.56,529594
citrobacter-freundii_CAV1741,npScarf,8421123,17,1.58,529594
citrobacter-freundii_CAV1741,npScarf,8481814,17,1.59,529594
citrobacter-freundii_CAV1741,npScarf,8674844,17,1.63,529594
citrobacter-freundii_CAV1741,npScarf,8706213,17,1.63,529594
citrobacter-freundii_CAV1741,npScarf,8823507,16,1.65,822037
citrobacter-freundii_CAV1741,npScarf,8886058,16,1.67,822037
citrobacter-freundii_CAV1741,npScarf,9016384,16,1.69,822037
citrobacter-freundii_CAV1741,npScarf,9138928,16,1.71,822037
citrobacter-freundii_CAV1741,npScarf,9260822,16,1.74,822037
citrobacter-freundii_CAV1741,npScarf,9418694,15,1.77,822037
citrobacter-freundii_CAV1741,npScarf,9610317,15,1.8,822037
citrobacter-freundii_CAV1741,npScarf,9727206,15,1.82,822037
citrobacter-freundii_CAV1741,npScarf,9762411,15,1.83,822037
citrobacter-freundii_CAV1741,npScarf,9945955,15,1.86,822037
citrobacter-freundii_CAV1741,npScarf,10042503,15,1.88,822037
citrobacter-freundii_CAV1741,npScarf,10146300,15,1.9,822037
citrobacter-freundii_CAV1741,npScarf,10267660,15,1.92,822037
citrobacter-freundii_CAV1741,npScarf,10316689,15,1.93,822037
citrobacter-freundii_CAV1741,npScarf,10450289,15,1.96,822037
citrobacter-freundii_CAV1741,npScarf,10542665,14,1.98,840327
citrobacter-freundii_CAV1741,npScarf,10682343,14,2,840327
citrobacter-freundii_CAV1741,npScarf,10765710,14,2.02,840327
citrobacter-freundii_CAV1741,npScarf,10898932,14,2.04,840327
citrobacter-freundii_CAV1741,npScarf,10927995,14,2.05,840327
citrobacter-freundii_CAV1741,npScarf,11065783,14,2.07,840327
citrobacter-freundii_CAV1741,npScarf,11236346,14,2.11,840327
citrobacter-freundii_CAV1741,npScarf,11302323,14,2.12,840327
citrobacter-freundii_CAV1741,npScarf,11394768,14,2.14,840327
citrobacter-freundii_CAV1741,npScarf,11509234,14,2.16,840327
citrobacter-freundii_CAV1741,npScarf,11629954,14,2.18,840327
citrobacter-freundii_CAV1741,npScarf,11759812,14,2.2,840327
citrobacter-freundii_CAV1741,npScarf,11826570,14,2.22,840327
citrobacter-freundii_CAV1741,npScarf,11986405,14,2.25,840327
citrobacter-freundii_CAV1741,npScarf,12122957,14,2.27,840327
citrobacter-freundii_CAV1741,npScarf,12191383,14,2.28,840327
citrobacter-freundii_CAV1741,npScarf,12264124,14,2.3,840327
citrobacter-freundii_CAV1741,npScarf,12450184,14,2.33,840327
citrobacter-freundii_CAV1741,npScarf,12572298,14,2.36,840327
citrobacter-freundii_CAV1741,npScarf,12658542,14,2.37,840327
citrobacter-freundii_CAV1741,npScarf,12800393,14,2.4,840327
citrobacter-freundii_CAV1741,npScarf,12868085,14,2.41,840327
citrobacter-freundii_CAV1741,npScarf,12932625,14,2.42,840327
citrobacter-freundii_CAV1741,npScarf,13010376,14,2.44,840327
citrobacter-freundii_CAV1741,npScarf,13108597,14,2.46,840327
citrobacter-freundii_CAV1741,npScarf,13133262,14,2.46,840327
citrobacter-freundii_CAV1741,npScarf,13208907,14,2.48,840327
citrobacter-freundii_CAV1741,npScarf,13314161,14,2.5,840327
citrobacter-freundii_CAV1741,npScarf,13442539,14,2.52,840327
citrobacter-freundii_CAV1741,npScarf,13609263,14,2.55,840327
citrobacter-freundii_CAV1741,npScarf,13658488,14,2.56,840327
citrobacter-freundii_CAV1741,npScarf,13759376,14,2.58,840327
citrobacter-freundii_CAV1741,npScarf,13787089,14,2.58,840327
citrobacter-freundii_CAV1741,npScarf,13893647,14,2.6,840327
citrobacter-freundii_CAV1741,npScarf,14060923,13,2.64,840327
citrobacter-freundii_CAV1741,npScarf,14139256,13,2.65,840327
citrobacter-freundii_CAV1741,npScarf,14258092,13,2.67,840327
citrobacter-freundii_CAV1741,npScarf,14318244,12,2.68,840327
