Bases	Contigs	Depth	N50
24219134	4	5.27	3039649
24351385	4	5.30	3039649
24454658	4	5.33	3039649
24599185	4	5.36	3039649
24700886	4	5.38	3039649
24729025	4	5.39	3039649
25010540	4	5.45	3039649
25062333	4	5.46	3039649
25158657	4	5.48	3039649
25187288	4	5.49	3039649
25346885	4	5.52	3039649
25450007	4	5.54	3039649
25550188	4	5.56	3039649
25576698	4	5.57	3039649
25759080	4	5.61	3039649
25866646	4	5.63	3039649
25899221	4	5.64	3039649
26001801	4	5.66	3039649
26150106	4	5.69	3039649
26256915	4	5.72	3039649
26360177	4	5.74	3039649
26473023	4	5.77	3039649
26678600	4	5.81	3039649
26678600	4	5.81	3039649
26828598	4	5.84	3039649
26846162	4	5.85	3039649
27028720	2	5.89	3093487
27171510	2	5.92	4631731
27332417	2	5.95	4631731
27495627	2	5.99	4631731
27638674	2	6.02	4631731
27695482	2	6.03	4631731
27768322	2	6.05	4631731
27975674	2	6.09	4631731
28081680	2	6.12	4631731
28219537	2	6.15	4631731
28268239	2	6.16	4631731
28515734	2	6.21	4631731
28591108	2	6.23	4631731
28722215	2	6.25	4632659
28779591	2	6.27	4632659
28983184	2	6.31	4632659
29274017	2	6.38	4632659
29354210	2	6.39	4632659
29486223	2	6.42	4632659
29591460	2	6.44	4632659
29702450	2	6.47	4632659
29778867	2	6.48	4632659
29835203	2	6.50	4632659
29940910	2	6.52	4632659
30019864	2	6.54	4632659
30173433	2	6.57	4632659
30266433	2	6.59	4632659
30424540	2	6.63	4632659
30531522	2	6.65	4632659
30619185	2	6.67	4632659
30733132	2	6.69	4632659
30733132	2	6.69	4632659
30762054	2	6.70	4632659
30904662	2	6.73	4632659
30928123	2	6.74	4632659
31026928	2	6.76	4632659
31230054	2	6.80	4632659
31347473	2	6.83	4632659
31497726	2	6.86	4632659
31605553	2	6.88	4632659
31742435	2	6.91	4632659
31814804	2	6.93	4632659
31923838	2	6.95	4632659
32031139	2	6.98	4632659
32272704	2	7.03	4632659
32343217	2	7.04	4632659
32402073	2	7.06	4632659
32459946	2	7.07	4632659
32690095	2	7.12	4632659
32851328	2	7.15	4632659
32930922	2	7.17	4632659
33019629	2	7.19	4632659
33050705	2	7.20	4632659
33278503	2	7.25	4632659
33339406	2	7.26	4632659
33421186	2	7.28	4632659
33636436	2	7.33	4632659
33724140	2	7.34	4632659
33847047	1	7.37	4640202
33958663	1	7.40	4641172
34024614	1	7.41	4641172
34139689	1	7.43	4641172
34289318	1	7.47	4641172
34350339	1	7.48	4641172
34501508	1	7.51	4641172
34589130	1	7.53	4641172
34676433	1	7.55	4641172
34814792	1	7.58	4641172
34884494	1	7.60	4641172
34911290	1	7.60	4641172
35083406	1	7.64	4641172
35195923	1	7.66	4641172
35368292	1	7.70	4641172
35445366	1	7.72	4641172
35764066	1	7.79	4641172
35924475	1	7.82	4641172
36060936	1	7.85	4641172
36152898	1	7.87	4641172
36230777	1	7.89	4641172
36334967	1	7.91	4641172
36371837	1	7.92	4641172
36422980	1	7.93	4641172
36603709	1	7.97	4641172
36726826	1	8.00	4641172
36795551	1	8.01	4641172
36829264	1	8.02	4641172
36996139	1	8.06	4641172
37150795	1	8.09	4641172
37245721	1	8.11	4641172
37461643	1	8.16	4641172
37535080	1	8.17	4641172
37579268	1	8.18	4641172
37805801	1	8.23	4641172
37905433	1	8.25	4641172
37933614	1	8.26	4641172
38039624	1	8.28	4641172
38159347	1	8.31	4641172
38252781	1	8.33	4641172
38411964	1	8.36	4641172
38548381	1	8.39	4641172
38664278	1	8.42	4641172
38748057	1	8.44	4641172
38866393	1	8.46	4641172
38995586	1	8.49	4641172
39021013	1	8.50	4641172
39218446	1	8.54	4641172
39283400	1	8.55	4641171
39382534	1	8.58	4641171
39498129	1	8.60	4641171
39552775	1	8.61	4641171
39654288	1	8.64	4641171
39736112	1	8.65	4641171
39891296	1	8.69	4641171
39908938	1	8.69	4641171
40031792	1	8.72	4641171
40124706	1	8.74	4641171
40220352	1	8.76	4641171
40241505	1	8.76	4641171
40462655	1	8.81	4641171
40525189	1	8.83	4641171
40644497	1	8.85	4641171
40849983	1	8.90	4641171
40999299	1	8.93	4641171
40999299	1	8.93	4641171
41022563	1	8.93	4641171
41174680	1	8.97	4641171
41354239	1	9.01	4641171
41375444	1	9.01	4641171
41578829	1	9.05	4641171
41698930	1	9.08	4641171
41862246	1	9.12	4641171
41890103	1	9.12	4641171
42046851	1	9.16	4641171
42168501	1	9.18	4641171
42263567	1	9.20	4641171
42529334	1	9.26	4641171
42578042	1	9.27	4641171
42722960	1	9.30	4641171
42785349	1	9.32	4641171
42908522	1	9.34	4641171
43016674	1	9.37	4641171
43026230	1	9.37	4641171
43245974	1	9.42	4641171
43342900	1	9.44	4641171
43456463	1	9.46	4641171
43524786	1	9.48	4641171
43659719	1	9.51	4641171
43686043	1	9.51	4641171
43860527	1	9.55	4641171
43942091	1	9.57	4641171
44135254	1	9.61	4641171
44167166	1	9.62	4641171
44327269	1	9.65	4641171
44459542	1	9.68	4641171
44471999	1	9.68	4641171
44605580	1	9.71	4641171
44771459	1	9.75	4641171
44918646	1	9.78	4641171
45037819	1	9.81	4641171
45051229	1	9.81	4641171
45272169	1	9.86	4641171
45296695	1	9.86	4641171
45386428	1	9.88	4641171
45479648	1	9.90	4641171
45512754	1	9.91	4641171
45593603	1	9.93	4641171
45790422	1	9.97	4641171
45879044	1	9.99	4641171
45954835	1	10.01	4641171
46058524	1	10.03	4641171
46267921	1	10.08	4641171
46372313	1	10.10	4641171
46458096	1	10.12	4641171
46592160	1	10.15	4641171
46725875	1	10.18	4641171
46940306	1	10.22	4641171
47004275	1	10.24	4641171
47158595	1	10.27	4641171
47405759	1	10.32	4641171
47440348	1	10.33	4641171
47662137	1	10.38	4641171
47827477	1	10.42	4641171
47884511	1	10.43	4641171
47961228	1	10.44	4641171
48148479	1	10.49	4641171
48212331	1	10.50	4641171
48385787	1	10.54	4641171
48468908	1	10.56	4641171
48512085	1	10.56	4641171
48850762	1	10.64	4641171
48877145	1	10.64	4641171
49020680	1	10.68	4641171
49086040	1	10.69	4641171
49155638	1	10.70	4641171
49342117	1	10.75	4641171
49506752	1	10.78	4641171
49506752	1	10.78	4641171
49591451	1	10.80	4641171
49715986	1	10.83	4641171
49757116	1	10.84	4641171
49991764	1	10.89	4641171
50123826	1	10.92	4641171
50300022	1	10.95	4641171
50372588	1	10.97	4641171
50497288	1	11.00	4641171
50583194	1	11.02	4641171
50667757	1	11.03	4641171
50733399	1	11.05	4641171
50902364	1	11.09	4641171
51003765	1	11.11	4641171
51034095	1	11.11	4641171
51233984	1	11.16	4641171
51363801	1	11.19	4641171
51439853	1	11.20	4641171
51594803	1	11.24	4641171
51695604	1	11.26	4641171
51918128	1	11.31	4641171
51952858	1	11.31	4641171
52022547	1	11.33	4641171
52177681	1	11.36	4641171
52282263	1	11.39	4641171
52357280	1	11.40	4641171
52546753	1	11.44	4641171
52589245	1	11.45	4641171
52603225	1	11.46	4641171
52836748	1	11.51	4641171
52866843	1	11.51	4641171
53048632	1	11.55	4641171
53095079	1	11.56	4641171
53223885	1	11.59	4641171
53374185	1	11.62	4641171
53559953	1	11.66	4641171
53699457	1	11.69	4641171
53877434	1	11.73	4641171
53877434	1	11.73	4641171
53988700	1	11.76	4641171
54025465	1	11.77	4641171
54125594	1	11.79	4641171
54229107	1	11.81	4641171
54255889	1	11.82	4641171
54507515	1	11.87	4641171
54546908	1	11.88	4641171
54671187	1	11.91	4641171
54758473	1	11.92	4641171
54771681	1	11.93	4641171
54948592	1	11.97	4641171
55195157	1	12.02	4641171
55218216	1	12.02	4641171
55250781	1	12.03	4641171
55479430	1	12.08	4641171
55652847	1	12.12	4641171
55777753	1	12.15	4641171
55966539	1	12.19	4641171
56046667	1	12.21	4641171
56204297	1	12.24	4641171
56295583	1	12.26	4641171
56355343	1	12.27	4641171
56577522	1	12.32	4641171
56604623	1	12.33	4641171
56729009	1	12.35	4641171
56913551	1	12.39	4641171
57038123	1	12.42	4641171
57099580	1	12.43	4641171
57213520	1	12.46	4641171
57233554	1	12.46	4641171
57364645	1	12.49	4641171
57490043	1	12.52	4641171
57605808	1	12.54	4641171
57605808	1	12.54	4641171
57735803	1	12.57	4641171
57749976	1	12.58	4641171
58013853	1	12.63	4641171
58037778	1	12.64	4641171
58170013	1	12.67	4641171
58371515	1	12.71	4641175
58419561	1	12.72	4641175
58557167	1	12.75	4641175
58683028	1	12.78	4641175
58772092	1	12.80	4641175
58933286	1	12.83	4641175
59073050	1	12.86	4641175
59112743	1	12.87	4641175
59308394	1	12.92	4641175
59308394	1	12.92	4641175
59379775	1	12.93	4641175
59411112	1	12.94	4641175
59566544	1	12.97	4641175
59579696	1	12.97	4641175
59671466	1	12.99	4641175
59805216	1	13.02	4641175
59946147	1	13.05	4641175
59986515	1	13.06	4641175
60089011	1	13.09	4641175
60226358	1	13.12	4641175
60378835	1	13.15	4641175
60506876	1	13.18	4641175
60655199	1	13.21	4641175
60723732	1	13.22	4641175
60846435	1	13.25	4641175
60979370	1	13.28	4641175
61052413	1	13.30	4641175
61201573	1	13.33	4641175
61326741	1	13.36	4641175
61349775	1	13.36	4641175
61376764	1	13.37	4641175
61459455	1	13.38	4641175
61646043	1	13.42	4641175
61767102	1	13.45	4641175
61901814	1	13.48	4641175
62000092	1	13.50	4641175
62171615	1	13.54	4641175
62414216	1	13.59	4641175
62414216	1	13.59	4641175
62547802	1	13.62	4641175
62652634	1	13.64	4641175
62812680	1	13.68	4641175
62821383	1	13.68	4641175
62974077	1	13.71	4641175
63061321	1	13.73	4641175
63172654	1	13.76	4641175
63296900	1	13.78	4641175
63514953	1	13.83	4641175
63623434	1	13.86	4641175
63647210	1	13.86	4641175
63790436	1	13.89	4641175
63830994	1	13.90	4641175
63924403	1	13.92	4641175
64068637	1	13.95	4641175
64124522	1	13.96	4641175
64198293	1	13.98	4641175
64301269	1	14.00	4641175
64542722	1	14.06	4641175
64542722	1	14.06	4641175
64646386	1	14.08	4641175
64769494	1	14.10	4641175
64778813	1	14.11	4641175
64913699	1	14.14	4641175
65103167	1	14.18	4641175
65238169	1	14.21	4641175
65355862	1	14.23	4641175
65433899	1	14.25	4641175
65551537	1	14.28	4641175
65714080	1	14.31	4641175
65819497	1	14.33	4641175
65836872	1	14.34	4641175
