Bases	Contigs	Depth	N50
26129756	7	4.77	5250804
26266567	7	4.79	5250804
26411307	7	4.82	5250825
26569772	7	4.85	5250825
26639016	7	4.86	5250825
26704460	7	4.87	5250825
26844695	7	4.90	5250825
26955613	7	4.92	5250825
26955613	7	4.92	5250825
27222127	7	4.97	5250825
27311265	7	4.98	5250837
27594629	7	5.04	5250837
27660489	7	5.05	5250837
27703403	7	5.06	5250837
27866377	7	5.09	5250837
27967861	7	5.10	5250837
28000231	7	5.11	5250837
28262270	7	5.16	5250837
28262270	7	5.16	5250837
28353584	7	5.17	5250837
28472651	7	5.20	5250837
28603433	7	5.22	5250837
28751933	7	5.25	5250837
28834904	7	5.26	5250837
28834904	7	5.26	5250837
28874903	7	5.27	5250837
29079990	7	5.31	5250837
29184780	7	5.33	5250837
29222159	7	5.33	5250837
29279760	7	5.34	5250837
29551175	7	5.39	5250837
29611259	7	5.40	5250837
29812310	7	5.44	5250837
29991044	7	5.47	5250837
30063211	7	5.49	5250837
30177916	7	5.51	5250837
30245242	7	5.52	5258107
30256333	7	5.52	5258107
30548695	7	5.57	5258107
30702609	7	5.60	5258107
30872373	7	5.63	5258107
31026963	7	5.66	5258107
31253669	7	5.70	5258107
31364472	8	5.72	5258107
31396572	8	5.73	5258107
31489828	8	5.75	5258107
31585525	8	5.76	5258107
31616562	8	5.77	5258107
31809065	8	5.80	5258107
31912276	8	5.82	5258107
32066987	8	5.85	5258107
32174133	8	5.87	5258107
32196404	8	5.88	5258107
32380137	8	5.91	5258107
32496588	8	5.93	5258107
32687380	8	5.96	5258107
32867724	8	6.00	5258107
32938195	8	6.01	5258107
33160885	8	6.05	5258107
33266808	8	6.07	5258107
33307294	8	6.08	5258107
33354539	8	6.09	5258107
33504542	8	6.11	5258107
33651304	8	6.14	5258107
33747948	8	6.16	5258107
33781842	8	6.16	5258107
33942210	8	6.19	5258107
34081104	8	6.22	5258107
34248407	8	6.25	5258107
34345812	8	6.27	5258107
34345812	8	6.27	5258107
34442766	8	6.29	5258107
34451467	8	6.29	5258107
34528948	8	6.30	5258107
34682510	8	6.33	5258107
34751964	8	6.34	5258107
34890026	8	6.37	5258107
35018229	7	6.39	5249645
35129710	7	6.41	5250696
35303698	7	6.44	5250696
35391136	7	6.46	5250696
35476674	7	6.47	5250696
35628917	7	6.50	5250696
35628917	7	6.50	5250696
35725583	7	6.52	5250696
35835464	7	6.54	5250696
35897698	7	6.55	5250696
35982667	7	6.57	5250696
36128142	7	6.59	5250696
36258108	7	6.62	5250696
36448610	7	6.65	5250696
36526958	7	6.67	5250696
36556825	7	6.67	5250696
36819012	7	6.72	5250696
36885978	7	6.73	5250696
37151705	7	6.78	5250696
37262049	7	6.80	5250681
37433642	7	6.83	5250681
37664111	7	6.87	5250681
37679136	7	6.88	5250681
37900049	7	6.92	5250681
38000645	7	6.93	5250681
38023042	7	6.94	5250681
38063550	7	6.95	5250681
38342599	7	7.00	5250681
38385664	7	7.00	5250681
38554151	7	7.04	5250681
38635795	7	7.05	5250681
38848541	7	7.09	5250681
38864247	7	7.09	5250681
38939782	7	7.11	5250681
38987639	7	7.11	5250681
39113368	7	7.14	5250681
39267679	7	7.17	5250681
39267679	7	7.17	5250681
39458870	7	7.20	5250681
39546109	7	7.22	5250681
39546109	7	7.22	5250681
39752641	7	7.25	5250681
39887021	7	7.28	5250681
40001637	7	7.30	5250681
40090625	7	7.32	5250681
40105648	7	7.32	5250681
40126210	7	7.32	5250681
40278738	7	7.35	5250681
40324302	7	7.36	5250681
40370439	7	7.37	5250681
40580530	7	7.41	5250681
40604058	7	7.41	5250681
40759041	7	7.44	5250681
40794598	7	7.44	5250681
41150916	7	7.51	5250681
41243119	7	7.53	5250681
41293446	7	7.54	5250681
41373864	7	7.55	5250681
41503110	7	7.57	5250681
41576627	7	7.59	5250681
41762987	7	7.62	5250681
41906318	7	7.65	5250681
41992777	7	7.66	5250681
42223824	7	7.71	5250681
42368650	7	7.73	5250681
42448462	7	7.75	5250681
42493717	7	7.75	5250681
42582717	7	7.77	5250681
42799690	7	7.81	5250681
42928240	7	7.83	5250681
43039657	7	7.85	5250681
43268625	7	7.90	5250681
43381954	7	7.92	5250681
43564030	7	7.95	5250681
43592498	7	7.95	5250681
43720679	7	7.98	5250681
43898616	7	8.01	5250681
44005198	7	8.03	5250681
44115991	7	8.05	5250681
44238306	7	8.07	5250681
44391846	7	8.10	5250681
44491012	7	8.12	5250681
44685186	7	8.15	5250681
44711637	7	8.16	5250681
44802144	7	8.18	5250681
44901818	7	8.19	5250681
44977469	7	8.21	5250681
45158759	7	8.24	5250681
45266306	7	8.26	5250681
45493702	7	8.30	5250681
45534347	7	8.31	5250681
45591477	7	8.32	5250681
45873070	7	8.37	5250681
45956074	7	8.39	5250681
46060181	7	8.41	5250681
46227150	7	8.44	5250681
46243668	7	8.44	5250681
46431061	7	8.47	5250681
46492332	7	8.48	5250681
46564172	7	8.50	5250681
46607083	7	8.50	5250681
46866047	7	8.55	5250681
47074158	7	8.59	5250681
47201000	7	8.61	5250681
47297093	7	8.63	5250681
47401294	7	8.65	5250681
47419291	7	8.65	5250681
47576921	7	8.68	5250681
47696243	7	8.70	5250681
47741254	7	8.71	5250681
47949805	7	8.75	5250681
48033564	7	8.77	5250681
48226723	7	8.80	5250681
48240065	7	8.80	5250681
48292803	7	8.81	5250681
48526767	7	8.86	5250681
48698771	7	8.89	5250681
48742241	7	8.89	5250681
48879064	7	8.92	5250681
48991986	7	8.94	5250681
49079098	7	8.96	5250681
49217206	7	8.98	5250681
49370974	7	9.01	5250681
49500994	7	9.03	5250681
49556955	7	9.04	5250681
49651847	7	9.06	5250681
49651847	7	9.06	5250681
49716557	7	9.07	5250681
49893984	7	9.10	5250681
49981191	7	9.12	5250681
50229207	7	9.17	5250681
50350549	7	9.19	5250681
50427542	7	9.20	5250681
50594305	7	9.23	5250681
50683224	7	9.25	5250681
50712989	7	9.25	5250681
50841786	7	9.28	5250681
50884537	7	9.29	5250681
51025928	7	9.31	5250681
51161306	7	9.34	5250681
51205205	7	9.34	5250681
51385031	7	9.38	5250681
51523547	7	9.40	5250681
51547705	7	9.41	5250681
51728075	7	9.44	5250681
51756950	7	9.44	5250681
51932545	7	9.48	5250681
52021822	7	9.49	5250681
52177627	7	9.52	5250681
52210586	7	9.53	5250681
52429697	7	9.57	5250681
52450327	7	9.57	5250681
52603805	7	9.60	5250681
52821534	7	9.64	5250681
52971359	7	9.67	5250681
53039332	7	9.68	5250681
53058870	7	9.68	5250681
53138165	7	9.70	5250681
53250759	7	9.72	5250681
53339371	7	9.73	5250681
53436712	7	9.75	5250681
53644173	7	9.79	5250681
53713264	7	9.80	5250681
53735395	7	9.81	5250681
53829433	7	9.82	5250681
54016995	7	9.86	5250681
54099070	7	9.87	5250681
54201917	7	9.89	5250681
54246089	7	9.90	5250681
54371470	7	9.92	5250681
54437844	7	9.93	5250681
54626703	7	9.97	5250681
54761847	7	9.99	5250681
54789828	7	10.00	5250681
54920068	7	10.02	5250681
55149670	7	10.06	5250681
55207375	7	10.07	5250681
55544266	7	10.14	5250681
55544266	7	10.14	5250681
55649024	7	10.15	5250681
55766882	7	10.18	5250681
55891903	7	10.20	5250681
55915609	7	10.20	5250681
56187077	7	10.25	5250681
56212282	7	10.26	5250681
56417812	7	10.30	5250681
56425924	7	10.30	5250681
56509362	7	10.31	5250681
56586320	7	10.33	5250681
56729007	7	10.35	5250681
56836243	7	10.37	5250681
56873790	7	10.38	5250681
57011373	7	10.40	5250681
57061185	7	10.41	5250681
57068308	7	10.41	5250681
57229021	7	10.44	5250681
57313406	7	10.46	5250681
57356296	7	10.47	5250681
57495972	7	10.49	5250681
57729228	7	10.53	5250681
57835390	7	10.55	5250681
57856603	7	10.56	5250681
58013609	7	10.59	5250681
58091830	7	10.60	5250681
58330440	7	10.64	5250681
58330440	7	10.64	5250681
58382270	7	10.65	5250681
58439559	7	10.66	5250681
58676218	7	10.71	5250681
58759533	7	10.72	5250681
58951081	7	10.76	5250681
58951081	7	10.76	5250681
59076626	7	10.78	5250681
59114577	7	10.79	5250681
59330278	7	10.83	5250681
59355141	7	10.83	5250681
59445830	7	10.85	5250681
59602591	7	10.88	5250681
59739859	7	10.90	5250681
59844454	7	10.92	5250681
60020607	7	10.95	5250681
60146644	7	10.98	5250681
60175364	7	10.98	5250681
60210951	7	10.99	5250681
60353363	7	11.01	5250681
