Bases	Contigs	Depth	N50
3930325	247	0.72	224951
26397354	138	4.85	633620
50126815	100	9.21	2059410
74744879	95	13.74	4578564
98691901	95	18.14	4578564
124024142	95	22.79	4578564
147816530	95	27.17	4578564
172750000	95	31.75	4578564
174025242	2	31.98	5248491
