Bases	Contigs	Depth	N50
3677346	276	0.67	233242
26376876	148	4.81	402053
51939223	99	9.48	873202
76220355	93	13.91	873202
99766891	92	18.21	3016792
124227729	89	22.67	3016792
149742124	89	27.33	3016792
174831039	89	31.90	3016792
179313241	10	32.72	5263232
