Bases	Contigs	Depth	N50
2025052	217	0.38	156396
19274024	121	3.61	398600
31901945	89	5.98	922802
43749857	85	8.20	2728233
56023864	84	10.50	2728566
68069722	85	12.76	3196883
80249692	85	15.04	3196883
92401106	85	17.32	3196883
104018008	85	19.49	3196883
116076601	85	21.75	3196883
127962740	85	23.98	3196883
136276606	13	25.54	5029414
